experiment_id,stage,model,input_features,static_features,window_seconds,loss,missing_strategy,auxiliary_tasks,prediction_file,selector_column,selector_value,split_hash,parameter_count,checkpoint,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape,session_uid_macro_mae,session_uid_macro_rmse,session_uid_macro_r2,session_uid_macro_normalized_dtw,session_uid_count,raw_pa_id_macro_mae,raw_pa_id_macro_rmse,raw_pa_id_macro_r2,raw_pa_id_macro_normalized_dtw,raw_pa_id_count,fms_ge_10_auprc,fms_ge_10_precision,fms_ge_10_recall,fms_ge_10_f1,fms_ge_15_auprc,fms_ge_15_precision,fms_ge_15_recall,fms_ge_15_f1,mae_fold_mean,mae_fold_std,rmse_fold_mean,rmse_fold_std,r2_fold_mean,r2_fold_std,pearson_r_fold_mean,pearson_r_fold_std,spearman_r_fold_mean,spearman_r_fold_std,bias_fold_mean,bias_fold_std,paired_vs_selected_paired_sessions,paired_vs_selected_mean_diff,paired_vs_selected_ci_low,paired_vs_selected_ci_high,paired_vs_selected_improved_fraction,train_time_seconds_mean,inference_latency_ms_per_window_mean,peak_gpu_memory_mb_mean,parameter_count_resource
stage4_history_60s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,60,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,60.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,152325,3.991448883154935,5.02225978097479,0.10120492519944291,0.3572631043837037,0.35655128466544284,-0.680154580908731,0.6003221782574991,3.988271729221909,4.479425401687689,-17.6732646956122,3.7284243245445072,428,4.405760909631887,5.123314276313845,-73.04088792204428,nan,86,0.4575906325538091,0.47999477556706865,0.20403064623584277,0.2863450425297059,0.22989723492292508,0.0,0.0,0.0,3.9909135013800907,0.35734505497033375,4.995891947465353,0.5649073814500144,0.08994205362318937,0.08037286069170486,0.3920522012545909,0.05337663360733591,0.38820830064333095,0.05453218623108382,-0.6789350019328613,1.2596706518006189,428,0.41651674585148685,0.23581047451565235,0.5958467645324282,0.37149532710280375,,,,
stage4_history_120s_dynamic,4,small causal LSTM,six-axis dynamic sequence + missing masks,none,120,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\history_diagnostics\predictions_stage4.csv,duration_seconds,120.0,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,101961,4.2928305395989765,5.314888500893674,-0.037426366252913734,0.11799125846079937,0.07336084608019043,-0.9768791303896911,0.5311732796502684,4.2767593869344465,4.668149608729086,-30.579672125924105,4.176750292199903,428,4.609317264829709,5.278799575949102,-7.171345503571223,nan,86,0.4467511337871848,0.46566760840191623,0.08587803552011598,0.14501291001243188,0.22012688412663856,0.0,0.0,0.0,4.29114963649766,0.3828824586251781,5.286060342220709,0.5822561709364521,-0.04975976595672547,0.08610259069973279,0.15833375233220118,0.05723419289993916,0.14171029878385394,0.04200439998746735,-0.9721133813702743,1.1181524434880226,428,0.7050044035640272,0.4873116325719733,0.9242883751852129,0.3341121495327103,,,,
stage4_dose_local_sequence,4,local_sequence,six-axis dynamic sequence + missing masks,none,10,Huber,causal zero/forward dose states,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\dose_diagnostics\predictions_stage4.csv,variant,local_sequence,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.6977328416006103,4.781208079492909,0.2019998739846509,0.4785272800320887,0.49251403600119414,-0.8513966701697934,0.7171283984246476,3.7094751791095004,4.251448654366246,-1.609859305206669,3.3796621941326537,428,4.273188083112389,5.017028787041076,-2.0948238621579964,nan,86,0.44400209712722644,0.4532626195662468,0.08375772212596909,0.1413884785819793,0.22098971368241555,0.0,0.0,0.0,3.6977459497026492,0.36359280269582456,4.751819633150763,0.5922052474410169,0.19579433824367415,0.08508807460904375,0.5058409950846456,0.0322414748144562,0.5197872221001311,0.038175260283948756,-0.8514378370274148,1.1739722083914612,428,0.1377201957390772,-0.03600526360101471,0.3079581928841586,0.4719626168224299,13.197358126938344,0.00040443902819564984,,5921
stage4_dose_cumulative_dose,4,cumulative_dose,causal cumulative motion dose,none,10,Huber,causal zero/forward dose states,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\dose_diagnostics\predictions_stage4.csv,variant,cumulative_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,929,,192219,3.7539088197912545,4.825737278702507,0.18706650224862909,0.4652671108334493,0.4811358810549449,-0.8775098230544701,0.7202867874628571,3.7586923960759653,4.309011929971584,-1.6651574057757015,3.4427012662859693,428,4.318519360185681,5.0545964095603795,-2.357261940248262,nan,86,0.45098933301090094,0.48724778046811945,0.1056509336553438,0.17364916368238625,0.23115443653444498,0.0,0.0,0.0,3.7539671138979926,0.39281044820292016,4.794848951925593,0.6100995881369908,0.18106958378493349,0.0926977515509107,0.4933204503929286,0.03873951950622021,0.5098653392476209,0.04386214693799781,-0.8773374315320757,1.180388021562311,428,0.18693741270554148,0.011673247540164949,0.3539824518329311,0.42757009345794394,7.651376686990261,8.566249299363311e-05,,929
stage4_dose_window_stats,4,window_stats,causal window statistics,none,10,Huber,causal zero/forward dose states,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\dose_diagnostics\predictions_stage4.csv,variant,window_stats,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,1729,,192219,3.7048522616729036,4.78368801514908,0.2011718396602371,0.4778473527308019,0.49660322115415456,-0.846290512174312,0.7156243637851105,3.7150788462297393,4.264326856986183,-1.6516558368167362,3.3492942844960294,428,4.259069365200463,5.004133858306662,-2.272529510554677,nan,86,0.45511424878171347,0.4841014934960655,0.10551092910519592,0.1732595732452044,0.23161924700669329,0.08771929824561403,0.00020177562550443906,0.0004026251157547208,3.7048978577399394,0.37032534063173606,4.754142837154399,0.5938697365337666,0.19493759441046618,0.08661125233252186,0.5031092404624805,0.03717729795623827,0.5194940509518337,0.04038735998809658,-0.8461115233774252,1.1500931749722425,428,0.14332386285931467,-0.03021765749190707,0.3126061505035714,0.45093457943925236,8.94044468998909,0.00016065840964297494,,1729
stage4_dose_sequence_plus_dose,4,sequence_plus_dose,dynamic sequence + causal cumulative dose,none,10,Huber,causal zero/forward dose states,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\dose_diagnostics\predictions_stage4.csv,variant,sequence_plus_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,6849,,192219,3.6984211571983963,4.7523305476524245,0.21161028302084084,0.4835321560652814,0.497669160050474,-0.7774385168993169,0.7121407908878615,3.7031254199622334,4.232339127584711,-1.6579161633443007,3.3869219933823076,428,4.237241085409714,4.9591429706649865,-2.3080554512954734,nan,86,0.45782790410176727,0.48998921915909444,0.1113561190738699,0.1814707601922227,0.23650223194916914,0.0,0.0,0.0,3.6984906953044594,0.37608934600626115,4.723482008116225,0.585294041167534,0.20525069723517503,0.08383233901271377,0.5079128073592815,0.04281122662148917,0.5220132366487704,0.04421606829168828,-0.7772770763523505,1.1206801203832617,428,0.13137043659181397,-0.046926363728928895,0.29884955996841917,0.4462616822429907,18.290554113686085,0.00032976725755799383,,6849
stage4_static_static_only,4,static_only,static susceptibility branch only,age/gender/MSSQ + missing masks,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,static_only,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,801,,192219,4.232159798507935,5.3659525935161545,-0.005127912337516083,0.26364192096207306,0.19839550189128688,-0.3910672847122429,0.7373793160084355,4.249407770629689,4.903389169911116,-1.722696405418599,4.249407770629689,428,4.717536083317549,5.513376561623993,-1.493706179887072,nan,86,0.44678353060305276,0.5915492957746479,0.1800808526277104,0.27610818933132986,0.2916469546205403,0.5066921606118547,0.12832929782082325,0.20479134466769708,4.232162104813796,0.34370096315753074,5.347602680426749,0.49543081306276443,-0.02153788043650584,0.06506255318120147,0.2858632894815019,0.10391963838156419,0.27307800493318135,0.06191518434333805,-0.3917770800359666,1.6670710328179759,428,0.6776527872592659,0.5670970357793841,0.7861897516704843,0.26401869158878505,8.184183256328106,0.00010146571982802097,,801
stage4_static_dynamic,4,dynamic,six-axis dynamic sequence + missing masks,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,dynamic,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.683185788049,4.766998546393146,0.2067360658461206,0.4866057677498422,0.49914732782901866,-0.8869034026272566,0.7214297253014686,3.6930983597980025,4.238104382421036,-1.6328744700094693,3.3564734935787186,428,4.240046497070377,4.996738252980341,-2.128581288774212,nan,86,0.44966058984315266,0.44921682592847995,0.0798025935842915,0.13552874041490817,0.22514440901489183,0.0,0.0,0.0,3.68322471648709,0.3731795563663572,4.738109813571657,0.586201666182461,0.20037740831326817,0.08350922187324548,0.5087098669557999,0.03350383533554417,0.5204461014399794,0.037832920085125094,-0.8867308110036383,1.1011495971022371,428,0.12134337642757873,-0.05917252654248093,0.29168119889305705,0.45794392523364486,13.885942646861077,0.0003201617175367837,,5921
stage4_static_cumulative_dose,4,cumulative_dose,causal cumulative motion dose,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,cumulative_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,929,,192219,3.7489159010702924,4.816739810157776,0.1900950653245005,0.4671667577932128,0.4825646612532698,-0.8508937832824433,0.7196685977940104,3.754007752506733,4.307134301154327,-1.6735662118138905,3.4286229297836317,428,4.295513024749034,5.036567902188722,-2.3256258787924486,nan,86,0.45001906185177426,0.48950381679389315,0.10773350133879352,0.17659968156977496,0.23211705615333092,0.0,0.0,0.0,3.7489598483121633,0.3800895775440502,4.787382220208694,0.5941335739070185,0.18361295261995034,0.08653065725336336,0.4934670329114213,0.03718472372492848,0.511057474788262,0.04108093664032494,-0.8507339209832498,1.1566863279238,428,0.18225276913631455,0.005640210973606703,0.3488227897944233,0.4158878504672897,8.008977979421616,9.821493240299198e-05,,929
stage4_static_static_dose,4,static_dose,static susceptibility + causal dose,age/gender/MSSQ + missing masks,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,static_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,1153,,192219,3.6296487785572107,4.729638571337373,0.21912129628018606,0.5226865359324832,0.5337175209160637,-0.5779108822095959,0.7226542827802853,3.626613695773996,4.218861515047365,-1.5365478867593734,3.3144807522189823,428,4.2386119598527,5.026340988178361,-1.887214208572972,nan,86,0.5474352094556099,0.5996307834314065,0.27285136766944923,0.3750451035577686,0.37067784252314523,0.6197376449054302,0.1639628732849072,0.25931835588460556,3.62961958970254,0.3891987291930664,4.710644095315917,0.47313667958702105,0.2083498515299606,0.05110663242001696,0.5474163902718064,0.029642749200920984,0.5638976654746631,0.026599169545102285,-0.5783663733807165,1.381399546034836,428,0.054858712403569335,-0.03157697491146578,0.1426636955224312,0.4649532710280374,7.645546071231365,0.00011730971841180868,,1153
stage4_static_static_dynamic,4,static_dynamic,dynamic sequence + static susceptibility,age/gender/MSSQ + missing masks,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,static_dynamic,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,6721,,192219,3.561735473959191,4.584568017161927,0.2662898768002466,0.5457535652913027,0.551541086394,-0.2708687162416014,0.718137088272573,3.5717549833704263,4.102805998173815,-1.605500767184865,3.273097099570456,428,4.086451363456056,4.813725824332497,-1.6485682154999144,nan,86,0.5659561048407837,0.5718105079756075,0.3331233265081115,0.42098860997456594,0.3916956104188014,0.7586805555555556,0.1410815173527038,0.2379202395535593,3.5616136317824454,0.37537879641178445,4.567206266769116,0.4443367259238188,0.2552737575594547,0.050644591266863145,0.5859085400022277,0.04906846812591095,0.5975204761960163,0.030412983489590876,-0.2718052231785766,1.73791430188601,428,0.0,0.0,0.0,0.0,16.705419139564036,0.00035433300812865267,,6721
stage4_static_static_dynamic_dose,4,static_dynamic_dose,dynamic sequence + dose + static susceptibility,age/gender/MSSQ + missing masks,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\static_diagnostics\predictions_stage4.csv,variant,static_dynamic_dose,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,7073,,192219,3.5954579808769775,4.667017893374112,0.2396621639773504,0.537197119101551,0.5531439478494727,-0.39678236949385054,0.7098992064577642,3.5990233502819704,4.156912391141809,-1.5763196303264553,3.275125106177811,428,4.187634931573009,4.936072046245372,-1.6614064416516436,nan,86,0.552990196242055,0.5708488775443419,0.30527992159745193,0.3978152544498797,0.3826480287432323,0.6104479707906193,0.17542372881355933,0.2725306416726749,3.5953643924133702,0.40785796248764217,4.647980981182207,0.4701045691243742,0.22948965589757253,0.04777310116317381,0.5718612896808049,0.029891918627249065,0.5806114040264848,0.013280769374570523,-0.3975931877531757,1.5520100299782977,428,0.027268366911545563,-0.05718803698330069,0.11196690590289893,0.4953271028037383,15.148602743446826,0.00022772034521960772,,7073
stage4_multitask_dynamic,4,dynamic,six-axis dynamic sequence + missing masks,none,10,Huber,zero after train-fold standardization + mask,none,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\multitask_diagnostics\predictions_stage4.csv,variant,dynamic,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,5921,,192219,3.6977328416006103,4.781208079492909,0.2019998739846509,0.4785272800320887,0.49251403600119414,-0.8513966701697934,0.7171283984246476,3.7094751791095004,4.251448654366246,-1.609859305206669,3.3796621941326537,428,4.273188083112389,5.017028787041076,-2.0948238621579964,nan,86,0.44400209712722644,0.4532626195662468,0.08375772212596909,0.1413884785819793,0.22098971368241555,0.0,0.0,0.0,3.6977459497026492,0.36359280269582456,4.751819633150763,0.5922052474410169,0.19579433824367415,0.08508807460904375,0.5058409950846456,0.0322414748144562,0.5197872221001311,0.038175260283948756,-0.8514378370274148,1.1739722083914612,428,0.1377201957390772,-0.03600526360101471,0.3079581928841586,0.4719626168224299,13.561477924883366,0.00027502758852662376,,5921
stage4_multitask_multitask,4,multitask,six-axis dynamic sequence + missing masks,none,10,Huber + auxiliary losses,zero after train-fold standardization + mask,update event + future 5s/10s delta,D:\27340\Git\OpenRDW\shared\data\exports\stage4\stage4\multitask_diagnostics\predictions_stage4.csv,variant,multitask,ce6de3c1cc9beb6c94acee6227213a50b43ecb338ab1fc6f48a3942adfa91cd5,6996,,192219,3.714885591258424,4.797093433158037,0.19668842441119905,0.4759707926075044,0.49184487620065975,-0.8748415675176491,0.7222473942497871,3.7209521093234446,4.258400881192739,-1.6722403652484068,3.389120564498975,428,4.2919915356286005,5.027557975589497,-2.369820458769352,nan,86,0.4537218160140046,0.48522187323830235,0.10544092683012198,0.17323672331004342,0.23291295645992552,0.0,0.0,0.0,3.7149469856229693,0.38446047192548627,4.765160937389551,0.6183543198385797,0.19127442684196158,0.09509411326082559,0.5060132080744122,0.04227595859827744,0.5224198686260901,0.04235979752080107,-0.8746291045250849,1.2292713463571223,428,0.14919712595302365,-0.030262263909231257,0.31632939759234574,0.4532710280373832,27.329255177080633,0.0007493361037106706,,6996
